regiao,estado,municipio,revenda,cnpj,endereco,rua,complemento,bairro,cep,produto,data,valor_venda,valor_compra,unidade_medida,bandeira
SE,SP,AMPARO,J M ANDRETA & CIA LTDA," 48.827.125/0001-16",AVENIDA BERNARDINO DE CAMPOS,535,,CENTRO,13900-400,ETANOL,01/12/2022,3.9,,R$ / litro,IPIRANGA
SE,SP,AMPARO,J M ANDRETA & CIA LTDA," 48.827.125/0001-16",AVENIDA BERNARDINO DE CAMPOS,535,,CENTRO,13900-400,GASOLINA ADITIVADA,01/12/2022,5.2,,R$ / litro,IPIRANGA
SE,SP,AMPARO,J M ANDRETA & CIA LTDA," 48.827.125/0001-16",AVENIDA BERNARDINO DE CAMPOS,535,,CENTRO,13900-400,GASOLINA,01/12/2022,5.1,,R$ / litro,IPIRANGA
SE,SP,AMPARO,J M ANDRETA & CIA LTDA," 48.827.125/0002-05",RUA BENTA MARIA DE BARROS,181,,ARCADAS,13908-000,ETANOL,01/12/2022,3.9,,R$ / litro,IPIRANGA
SE,SP,AMPARO,J M ANDRETA & CIA LTDA," 48.827.125/0002-05",RUA BENTA MARIA DE BARROS,181,,ARCADAS,13908-000,GASOLINA,01/12/2022,5.1,,R$ / litro,IPIRANGA
SE,SP,AMPARO,POSTINHO AVENIDA COMERCIAL LTDA," 51.300.887/0001-74",AVENIDA BERNANDINO DE CAMPOS,999,,RIBEIRÃO,13900-000,ETANOL,01/12/2022,3.9,,R$ / litro,IPIRANGA
SE,SP,AMPARO,POSTINHO AVENIDA COMERCIAL LTDA," 51.300.887/0001-74",AVENIDA BERNANDINO DE CAMPOS,999,,RIBEIRÃO,13900-000,GASOLINA ADITIVADA,01/12/2022,5.2,,R$ / litro,IPIRANGA
SE,SP,AMPARO,POSTINHO AVENIDA COMERCIAL LTDA," 51.300.887/0001-74",AVENIDA BERNANDINO DE CAMPOS,999,,RIBEIRÃO,13900-000,GASOLINA,01/12/2022,5.1,,R$ / litro,IPIRANGA
SE,SP,AMPARO,AUTO POSTO N. SRA. DO AMPARO LTDA," 45.672.680/0001-28",AVENIDA DOUTOR CARLOS BURGOS,3300,,CENTRO,13905-000,ETANOL,01/12/2022,4,,R$ / litro,IPIRANGA
SE,SP,AMPARO,AUTO POSTO N. SRA. DO AMPARO LTDA," 45.672.680/0001-28",AVENIDA DOUTOR CARLOS BURGOS,3300,,CENTRO,13905-000,GASOLINA ADITIVADA,01/12/2022,5.2,,R$ / litro,IPIRANGA
SE,SP,AMPARO,AUTO POSTO N. SRA. DO AMPARO LTDA," 45.672.680/0001-28",AVENIDA DOUTOR CARLOS BURGOS,3300,,CENTRO,13905-000,GASOLINA,01/12/2022,5.1,,R$ / litro,IPIRANGA
SE,SP,AMPARO,SIQUEIRA COMBUSTIVEIS LTDA," 03.245.450/0001-32",RUA PEIXOTO GOMIDE,157,,CENTRO,13900-210,ETANOL,01/12/2022,4.1,,R$ / litro,ALESAT
SE,SP,AMPARO,SIQUEIRA COMBUSTIVEIS LTDA," 03.245.450/0001-32",RUA PEIXOTO GOMIDE,157,,CENTRO,13900-210,GASOLINA,01/12/2022,5.1,,R$ / litro,ALESAT
SE,SP,CUBATAO,AUTO POSTO VIADUTO LTDA," 66.811.092/0001-06",AVENIDA NOVE DE ABRIL,1068,0,VILA ELIZABETH,11505-000,GASOLINA,01/12/2022,4.8,,R$ / litro,IPIRANGA
SE,SP,CUBATAO,AUTO POSTO CUBATAO LTDA," 47.498.829/0001-20",AVENIDA NOVE DE ABRIL,1845,,CENTRO,11510-000,ETANOL,01/12/2022,4.2,,R$ / litro,RAIZEN
SE,SP,CUBATAO,AUTO POSTO CUBATAO LTDA," 47.498.829/0001-20",AVENIDA NOVE DE ABRIL,1845,,CENTRO,11510-000,GASOLINA ADITIVADA,01/12/2022,5.5,,R$ / litro,RAIZEN
SE,SP,CUBATAO,AUTO POSTO CUBATAO LTDA," 47.498.829/0001-20",AVENIDA NOVE DE ABRIL,1845,,CENTRO,11510-000,GASOLINA,01/12/2022,5.2,,R$ / litro,RAIZEN
SE,SP,CUBATAO,AUTO POSTO VILA NOVA LTDA," 47.497.565/0001-90",AVENIDA 9 DE ABRIL,2916,,VILA NOVA,11520-000,ETANOL,01/12/2022,4.2,,R$ / litro,VIBRA ENERGIA
SE,SP,CUBATAO,AUTO POSTO VILA NOVA LTDA," 47.497.565/0001-90",AVENIDA 9 DE ABRIL,2916,,VILA NOVA,11520-000,GASOLINA ADITIVADA,01/12/2022,5.5,,R$ / litro,VIBRA ENERGIA
SE,SP,CUBATAO,AUTO POSTO VILA NOVA LTDA," 47.497.565/0001-90",AVENIDA 9 DE ABRIL,2916,,VILA NOVA,11520-000,GASOLINA,01/12/2022,5.4,,R$ / litro,VIBRA ENERGIA
SE,SP,CUBATAO,AUTO POSTO MATHIAS LTDA," 47.489.273/0001-05",AVENIDA JOAQUIM MIGUEL COUTO,619,0,VILA COUTO,11510-010,ETANOL,01/12/2022,4.2,,R$ / litro,IPIRANGA
SE,SP,CUBATAO,AUTO POSTO MATHIAS LTDA," 47.489.273/0001-05",AVENIDA JOAQUIM MIGUEL COUTO,619,0,VILA COUTO,11510-010,GASOLINA ADITIVADA,01/12/2022,5.6,,R$ / litro,IPIRANGA
SE,SP,CUBATAO,AUTO POSTO MATHIAS LTDA," 47.489.273/0001-05",AVENIDA JOAQUIM MIGUEL COUTO,619,0,VILA COUTO,11510-010,GASOLINA,01/12/2022,5.4,,R$ / litro,IPIRANGA
